Genotype,Mean,n,WT Mean,WT n,% chg,p-value,Mean,n,WT Mean,WT n,% chg,p-value,Criterion
aac3,32.98,60,25.65,60,28.6,3.00E-06,29.53,120,26.65,165,10.8,6.60E-03,High
afg3,31.78,40,26.18,40,21.4,2.10E-02,25.01,470,23.5,505,6.4,1.80E-01,Low
alg12,30.08,60,28.07,60,7.2,2.50E-01,32.29,185,27,244,19.6,5.10E-07,Low
alg6,29.2,20,25.68,40,13.7,6.00E-02,31.28,25,26.84,45,16.5,4.80E-02,Low
atg1,30.89,80,30.59,78,1,8.10E-01,28.55,644,26.66,723,7.1,9.20E-03,Low
atg8,34.38,80,31.02,98,10.8,2.70E-02,30.75,130,27.72,130,10.9,1.60E-02,High
ato2,38.15,20,23.55,20,62,1.70E-04,35.08,25,28.36,45,23.7,5.50E-03,High
atp17,32.4,20,29.3,20,10.6,5.60E-01,31.43,35,23.15,85,35.7,2.60E-04,Low
bmh2,28.1,20,27.1,20,3.7,5.80E-01,31.07,95,25.25,95,23.1,2.50E-04,Low
boi2,29.9,100,29.21,140,2.3,6.80E-01,35.2,45,25.83,65,36.3,1.00E-05,Low
bst1,41.9,20,23.15,20,81,1.90E-05,37,55,30.24,85,22.4,6.00E-04,High
bud8,30.45,40,25.12,60,21.2,1.20E-02,31.03,40,24.98,110,24.2,4.20E-02,High
bul1,30.78,40,27,80,14,1.10E-01,36.32,25,21.6,25,68.1,2.80E-04,Low
caf20,28.33,80,24.67,100,14.8,8.60E-03,28.44,365,27.33,405,4.1,1.10E-01,Low
caf40,23,19,21.6,20,6.5,3.30E-01,35.98,45,25.07,45,43.5,6.80E-06,Low
can1,37.28,40,24.85,40,50,1.80E-06,35.1,125,25,185,40.4,6.00E-15,High
cbs1,26.45,20,23.38,40,13.2,2.10E-01,34.54,35,22.98,85,50.3,4.90E-07,Low
chd1,29.3,60,25.53,60,14.8,3.10E-02,32.31,85,28.7,84,12.6,3.80E-02,High
cka2,33.95,20,21.6,20,57.2,6.80E-03,37.34,65,30.47,85,22.5,1.80E-03,High
cos12,34.05,60,30.7,80,10.9,5.40E-02,27.77,265,25.45,185,9.1,1.40E-02,Low
cst26,31.95,100,31.04,140,2.9,1.70E-01,34.4,50,23.08,105,49.1,1.10E-10,Low
cth1,30.48,40,25.4,60,20,1.50E-02,27.93,60,26.2,105,6.6,2.90E-01,Low
cup9,27.05,80,26.23,80,3.1,7.60E-01,32.58,45,24.82,65,31.3,8.50E-04,Low
cur1,25.8,20,23.38,40,10.4,5.40E-01,36.08,25,26.02,45,38.7,1.20E-05,Low
cyc1,29.45,60,28.15,60,4.6,4.70E-01,29.12,65,23.34,65,24.8,6.70E-05,Low
das2,29.58,60,28.99,80,2.1,5.70E-01,29.18,40,23.63,65,23.5,3.80E-03,Low
dbf20,29.55,40,25.4,60,16.3,6.50E-02,30.85,40,26.32,65,17.2,5.40E-02,Low
dbp3,31.8,40,26.18,40,21.5,4.00E-02,31.38,125,24.37,170,28.8,1.10E-07,High
dgk1,28.1,20,25.05,20,12.2,1.30E-01,36.56,25,26.98,45,35.5,1.00E-05,Low
did2,29.2,60,29,60,0.7,8.10E-01,33.91,65,25.62,65,32.4,6.50E-06,Low
dlt1,29.85,40,25.36,80,17.7,2.50E-02,31.26,144,29.01,205,7.7,6.40E-02,Low
dom34,31.58,60,25.79,120,22.5,2.30E-03,34.83,35,22.75,85,53.1,7.70E-06,High
dsf2,31.1,20,25.83,40,20.4,5.90E-02,34.08,25,27.58,45,23.6,2.20E-02,High
dsk2,31.13,40,23.38,40,33.2,3.30E-03,35.33,45,26.38,45,34,1.00E-04,High
elp4,31,100,28.56,140,8.6,3.00E-02,34.51,45,25.6,65,34.8,1.20E-05,High
emi5,30.4,20,23.38,40,30.1,5.00E-02,32.22,45,25.27,45,27.5,5.90E-04,High
emp24,33.7,40,29.62,60,13.8,2.80E-02,31.24,45,25.53,85,22.4,1.00E-02,High
eno1,27.65,60,26.48,60,4.4,6.20E-01,26.48,65,23.38,85,13.3,3.50E-02,Low
eos1,34.6,120,28.58,140,21.1,4.60E-03,37.08,25,26.93,45,37.7,1.00E-02,High
erv25,33.65,20,30.5,20,10.3,3.40E-01,31.13,30,25.7,50,21.1,6.00E-02,Low
erv41,32.95,20,24.13,40,36.6,2.00E-04,29.48,25,24.69,45,19.4,4.20E-02,High
eug1,34.95,40,26.45,40,32.1,8.60E-04,29.35,85,29.1,105,0.9,8.80E-01,Low
fcy2,28.38,60,25.93,100,9.7,7.50E-02,29.4,65,25.1,65,17.1,7.60E-02,Low
fet3,30.75,20,26.1,20,17.8,4.00E-02,26.03,30,22.97,30,13.4,1.80E-01,Low
fit2,36.45,20,19.8,20,84.1,1.20E-05,29.96,25,21.36,25,40.3,7.30E-03,High
