strain,Gene,ratio_result_nq:06_12_12_12:0428-0027:0.022806:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:06_12_14_46:0986-0033:0.035816:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:06_12_21_63:0329-0187a:0.002197:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_01_18_94:0109-0187:0.0424:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_01_24_30:0443-0269:0.128823:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_02_06_64:0850-0284:0.11164:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_02_23_23:0850-0259:0.0409225:mM::::5_20:heho_060929_061010:YPD pH7,ratio_result_nq:07_12_04_5-5:3492-0019:0.172:mM::::5_20:heho_060929_012807:YPD pH7,ratio_result_nq:08_01_10_6-21:1315-0399:0.119:mM::::5_20:heho_060929_012807:YPD pH7,ratio_result_nq:08_03_25_8-53:0958-0254:0.0926:mM::::5_20:heho_060929_012807:YPD pH7,ratio_result_nq:08_06_04_9-84:1120-0002:2.07:uM::::5_20:heho_060929_012807:YPD pH7,essential,zygosity
YAL001C,TFC3,0.766392,-0.0472949,-0.0866207,-0.217647,-0.166345,0.134039,1.55786,-0.17034,0.154376,0.0279315,-0.591836,yes,het
YAL002W,VPS8,-0.0152668,-0.366709,0.0107194,0.0862926,-0.120944,0.0680641,-0.493711,1.97379,0.042089,0.0279811,-0.219572,no,hom
YAL003W,EFB1,-0.0313788,-0.0967621,0.00212586,-0.0627439,-0.211567,0.0269596,0.175153,-0.176662,-0.00107938,0.0445172,-0.212313,yes,het
YAL004W,YAL004W,-0.0326726,-0.029535,0.130366,0.0928849,0.115274,-0.108085,-0.00467617,-0.062007,-0.0845701,0.0257098,0.163128,no,hom
YAL005C,SSA1,-0.215551,-0.0574193,-0.0558511,-0.161961,-0.00864348,0.0936246,-0.0754771,-0.0136753,0.0261603,0.0251918,-0.0390181,no,hom
YAL007C,ERP2,-0.14107,-0.0556654,-0.089977,-0.166432,-0.0780595,-0.0569319,0.0145545,0.0269793,-0.0409103,0.161122,0.0200522,no,hom
YAL008W,FUN14,0.0243184,0.0372189,-0.0854474,-0.0607413,0.244474,0.095479,-0.19465,-0.137421,0.121994,-0.0546634,0.108298,no,hom
YAL009W,SPO7,0.519943,0.0357019,-0.200851,0.155167,-0.0762253,0.0732911,-0.0181748,0.947357,-0.00923799,-0.033697,0.309393,no,hom
YAL010C,MDM10,,,,,,,,,,,,no,hom
YAL011W,SWC3,0.505837,0.00880789,0.264474,0.0795395,-0.148797,-0.0164246,0.745648,0.467257,0.0616191,0.170765,0.157076,no,hom
YAL012W,CYS3,1.67801,-1.01992,0.651658,0.401223,1.06175,0.242212,0.394734,-0.27886,0.263289,0.459445,0.17745,no,hom
YAL013W,DEP1,0.203309,-0.399144,-0.476336,0.83669,-0.025207,0.657991,-0.574816,-1.1793,0.887475,0.126375,-0.281359,no,hom
YAL014C,SYN8,-0.0974564,-0.0574773,-0.0624959,-0.0251622,-0.0528418,-0.0299361,0.0278638,0.160855,0.061064,-0.195736,-0.000881156,no,hom
YAL015C,NTG1,0.10454,-0.02603,-0.0556036,0.0291906,0.00304784,-0.0148487,0.757911,0.0427279,0.0013313,-0.00749773,0.0694545,no,hom
YAL016C-B,YAL016C-B,-0.114725,0.108919,-0.1131,-0.141629,-0.0182956,0.0928309,-0.0398248,-0.258844,0.0343876,-0.147718,0.131437,no,hom
YAL016W,TPD3,,,,,,,,,,,,no,hom
YAL017W,PSK1,0.0175363,0.0273659,-0.029282,0.225924,-0.0345908,0.0336126,-0.0456323,0.0190572,0.0356733,-0.0331965,0.000918489,no,hom
YAL018C,YAL018C,0.0350208,-0.168256,-0.310949,0.0885935,0.0449916,0.0365033,-0.0578483,-0.301333,-0.145079,-0.150397,-0.250317,no,hom
YAL019W,FUN30,0.580116,0.067741,-0.123141,0.15952,-0.299035,-0.0559515,-0.384142,-0.33275,-0.128389,-0.239327,-0.126079,no,hom
YAL020C,ATS1,-0.50241,-0.158028,-0.140949,0.127482,0.0687699,-0.244175,-0.39863,0.0299348,-0.206292,-0.0831483,0.162344,no,hom
YAL021C,CCR4,-0.201001,0.138607,-0.0556804,0.801964,0.31285,0.200725,3.21638,1.38289,0.348675,0.145137,0.309909,no,hom
YAL021C,CCR4,-0.243293,0.192842,0.486773,0.797907,0.268547,0.288297,2.31571,2.34808,0.129049,0.406071,-0.172448,no,hom
YAL022C,FUN26,-0.0570734,0.023635,-0.052656,-0.127248,-0.0246858,0.0527403,-0.0885639,-0.00593656,0.0967637,0.0679659,0.0540193,no,hom
YAL023C,PMT2,-0.301389,-0.128439,-0.301389,-0.00842384,0.332548,-0.259654,0.424533,0.484829,-0.305246,0.398022,-0.218598,no,hom
YAL024C,LTE1,0.218659,0.0376508,0.630342,0.197977,0.189069,0.221559,0.48419,0.0356464,0.377925,-0.0775588,0.143114,no,hom
YAL025C,MAK16,0.204718,-0.120003,-0.326013,0.366026,0.470253,-0.240751,-0.8917,-0.280028,-0.101662,0.279059,0.292715,yes,het
YAL026C,DRS2,0.57302,0.388317,-0.0733474,0.526962,-0.232604,-0.100865,0.340111,0.387495,-0.0822824,0.269479,0.693774,no,hom
YAL027W,SAW1,-0.0108454,0.0955021,-0.103142,0.020149,0.0715549,-0.0318433,0.034322,-0.167983,-0.0291568,0.25679,0.156879,no,hom
YAL028W,FRT2,-0.0436944,-0.0777729,-0.089963,-0.0534266,0.0859421,0.102132,-0.0445147,-0.0390586,0.0157154,0.073798,-0.0711916,no,hom
YAL029C,MYO4,0.051629,-0.143567,-0.0260796,0.305124,0.209903,-0.0132975,0.0177821,-0.107199,-0.0465264,0.18562,-0.0870975,no,hom
YAL030W,SNC1,0.0148598,0.129197,-0.054872,0.121077,0.125924,0.115371,-0.167566,0.0507387,-0.00831645,-0.29491,-0.0451117,no,hom
YAL031C,GIP4,-0.21571,-0.103887,-0.153071,-0.120122,0.0882394,0.21334,-0.0831809,-0.273453,-0.127002,0.0816043,0.0132639,no,hom
YAL032C,PRP45,-0.0898382,0.0598271,-0.151667,0.24967,0.171813,0.256881,-0.292579,0.15235,0.175949,0.0424842,-0.0800504,yes,het
YAL033W,POP5,-0.345579,-0.0977805,-0.00762857,0.16615,-0.0534783,0.119071,-0.188021,0.353504,0.120845,0.380212,-0.0308034,yes,het
YAL034C,FUN19,,,,,,,,,,,,no,hom
YAL034W-A,MTW1,-0.221867,0.328009,-0.0188914,0.0472225,0.0962937,0.199987,-0.0527043,-0.0574757,-0.101588,0.0589779,-0.160707,yes,het
YAL035C-A,YAL035C-A,-0.230918,0.184654,-0.0531456,0.0397479,-0.0173647,-0.0419967,-0.348228,0.306878,0.0309064,-0.0824618,-0.284039,,het
YAL035W,FUN12,,,,,,,,,,,,no,hom
YAL036C,RBG1,-0.0520517,-0.0359379,-0.141684,0.141404,-0.107875,-0.0486273,-0.104584,-0.0610132,0.167171,0.0163198,-0.0480832,no,hom
